estado_accion,estado_velocidad,frase,accion,velocidad
apagado,detenida,prender,prender,detenida
apagado,detenida,prendete rapido,prender,detenida
apagado,detenida,enciende,prender,detenida
apagado,detenida,ACTIVATE,prender,detenida
prendida,detenida,APAGUETE...,apagar,detenida
prendida,detenida,descansa,apagar,detenida
prendida,detenida,duerme??,apagar,detenida
prendida,detenida,hiberna,apagar,detenida
prendida,detenida,ADELANTE!,adelante,null
prendida,detenida,adelanTe rapido,adelante,rapido
prendida,detenida,rapido,null,rapido
adelante,detenida,rapido,adelante,rapido
adelante,rapido,derecha,adelante + derecha,rapido
adelante + derecha,rapido,IZQUIERDA,adelante,rapido
adelante,rapido,iZquIerdA??,adelante + izquierda,rapido
adelante + izquierda,rapido,adelante,adelante,rapido
adelante,rapido,disminuye la velocidad,adelante,normal
prendida,detenida,derecha,derecha,null
derecha,detenida,Rapido,derecha,rapido
prendida,detenida,vE pa' lA iZquieRda rApido,izquierda,rapido
apagado,detenida,EncIeNdEtE ahorita,prender,detenida
adelante + izquierda,lenta,gira a la derecha,adelante,lenta
prendida,detenida,ve derecho con cuidado,adelante,lenta
apagado,detenida,inicia de inmediato...,prender,detenida
prendida,detenida,derecha,derecha,null
prendida,detenida,modo normal ahorita,null,normal
adelante,normal,Reduce La Velocidad Ahora,adelante,lenta
adelante,lenta,Silla Derecha,adelante + derecha,lenta
apagado,detenida,ACTIVATE EN ESTE MOMENTO,prender,detenida
adelante + derecha,rapido,SILLA IZQUIERDA.,adelante,rapido
prendida,detenida,silla apaga,apagar,detenida
adelante,rapido,normal en friega,adelante,normal
adelante + derecha,normal,VAMOS ADELANTE,adelante,normal
prendida,detenida,gira para La dErecha mete VelocIdad,derecha,rapido
adelante + izquierda,normal,derecha ya,adelante,normal
prendida,normal,con mas velocidad de una,null,rapido
adelante,rapido,a la derecha,adelante + derecha,rapido
apagado,detenida,enciende ya,prender,detenida
apagado,detenida,Inicia En Friega,prender,detenida
prendida,normal,vamos adelante,adelante,null
adelante,rapido,derecha,adelante + derecha,rapido
prendida,detenida,adelantate.,adelante,normal
prendida,detenida,echale derecho normal,adelante,normal
adelante,lenta,BAJALE LA VELOCIDAD AHORITA,adelante,lenta
prendida,detenida,voltea pa' la derecha suavecito,derecha,lenta
prendida,detenida,dale adelante,adelante,null
prendida,detenida,rueda al frente despacio,adelante,lenta
adelante + izquierda,normal,voltea a la derecha,adelante,normal
prendida,lenta,VELOCIDAD NORMAL EN FRIEGA,null,normal
derecha,detenida,no tan rapido ya??,derecha,lenta
prendida,detenida,al frente tranqui,adelante,lenta
prendida,detenida,gira a la derecha,derecha,null
prendida,detenida,dale hacia adelante,adelante,normal
adelante,normal,subele la velocidad ahorita,adelante,rapido
adelante,rapido,a velocidad normal en este momento,adelante,normal
adelante,normal,reduce la velocidad en corto,adelante,lenta
prendida,detenida,apagate ahorita,apagar,detenida
adelante,detenida,silla derecha,adelante + derecha,detenida
prendida,detenida,reduce la velocidad ahora,null,lenta
adelante,lenta,voltea a la derecha,adelante + derecha,lenta
prendida,lenta,velocidad normal en friega!,null,normal
prendida,detenida,arRAnCate al freNTe desPAciTo,adelante,lenta
adelante,rapido,silLa DerechA,adelante + derecha,rapido
prendida,normal,bajale la velocidad de inmediato,null,lenta
prendida,detenida,gira al lado izquierdo mas rapido,izquierda,rapido
prendida,normal,pa enfrente,adelante,null
prendida,detenida,a la izquierda,izquierda,null
apagado,detenida,prendete ahorita,prender,detenida
prendida,detenida,apaga,apagar,detenida
prendida,detenida,VolteA a la izquIerda,izquierda,null
prendida,detenida,derecha modo normal!,derecha,normal
prendida,detenida,despacito.,null,lenta
prendida,normal,normal ahorita!!,null,normal
prendida,detenida,mete velocidad,null,rapido
prendida,detenida,a la derecha,derecha,null
prendida,detenida,ARRANCATE AL FRENTE DESPACITO,adelante,lenta
adelante,detenida,modo normal ya,adelante,normal
prendida,detenida,silla izquierda,izquierda,null
prendida,rapido,mete mas velocidad ahora?,null,rapido
prendida,detenida,apaga ya,apagar,detenida
adelante,lenta,silla izquierda,adelante + izquierda,lenta
apagado,detenida,enciende,prender,detenida
adelante,lenta,derecha ya,adelante + derecha,lenta
prendida,detenida,METE MAS VELOCIDAD,null,rapido
adelante,rapido,izquierda,adelante + izquierda,rapido
prendida,normal,manten velocidad normal ahora,null,normal
adelante + izquierda,rapido,dale adelante,adelante,rapido
prendida,detenida,a la izquierda,izquierda,null
adelante,normal,voltea a la derecha,adelante + derecha,normal
adelante,rapido,Gira A La Derecha,adelante + derecha,rapido
adelante,normal,mete mas velocidad ahora,adelante,rapido
adelante,rapido,Izquierda Ya!,adelante + izquierda,rapido
adelante,rapido,a velocidad normal,adelante,normal
adelante,lenta,gira a la derecha,adelante + derecha,lenta
adelante + derecha,rapido,gira a la izquierda,adelante,rapido
prendida,detenida,silla derecha,derecha,null
adelante,rapido,derecha,adelante + derecha,rapido
adelante,detenida,reduce la velocidad!!,adelante,lenta
adelante,lenta,SILLA IZQUIERDA,adelante + izquierda,lenta
prendida,lenta,reduce la velocidad ahora,null,lenta
derecha,rapido,subele la veLOcidad ahoritA...,derecha,rapido
prendida,lenta,vamos adelante,adelante,null
prendida,detenida,Camina Hacia Enfrente Rapido,adelante,rapido
adelante,lenta,SILLA IZQUIERDA,adelante + izquierda,lenta
apagado,detenida,enciende ya,prender,detenida
adelante,lenta,cON caLMA DE InmediatO,adelante,lenta
adelante,normal,Manten Velocidad Normal En Friega,adelante,normal
prendida,detenida,apagate de una,apagar,detenida
adelante + derecha,rapido,para enfrente!!,adelante,rapido
adelante,detenida,lenta.,adelante,lenta
prendida,detenida,avanza,adelante,null
prendida,detenida,para enfrente,adelante,null
adelante + izquierda,lenta,derecha...,adelante,lenta
prendida,detenida,voltea a la derecha,derecha,null
prendida,detenida,avanza mete velocidad!,adelante,rapido
prendida,detenida,adelante,adelante,null
adelante,rapido,derecha ya,adelante + derecha,rapido
adelante,rapido,silla izquierda,adelante + izquierda,rapido
prendida,lenta,AUMENTA LA VELOCIDAD YA.,null,rapido
prendida,rapido,no tan rapido en friega,null,lenta
prendida,detenida,muevete adelante,adelante,null
prendida,detenida,muevete hacia la derecha lento,derecha,lenta
adelante + izquierda,normal,derecha ya,adelante,normal
prendida,detenida,arrancate derecho suavecito,adelante,lenta
prendida,detenida,desconectate en friega,apagar,detenida
prendida,detenida,Apagate Ahora?,apagar,detenida
adelante,rapido,voltea a la derecha,adelante + derecha,rapido
prendida,lenta,CON MAS VELOCIDAD EN ESTE MOMENTO,null,rapido
adelante,normal,izquierda ya,adelante + izquierda,normal
prendida,detenida,tuerce para la izquierda despacito,izquierda,lenta
prendida,detenida,SILLA IZQUIERDA,izquierda,null
adelante,rapido,acelera de una,adelante,rapido
adelante + izquierda,normal,derecha.,adelante,normal
prendida,detenida,ARRANCATE HACIA ADELANTE,adelante,normal
derecha,rapido,Reduce lA velocidad ahora!,derecha,lenta
adelante,lenta,gira a la izquierda?,adelante + izquierda,lenta
prendida,lenta,avanza,adelante,null
adelante + derecha,normal,avanza,adelante,normal
prendida,normal,normal en friega,null,normal
adelante,normal,izquierda ya,adelante + izquierda,normal
adelante,lenta,Silla Derecha,adelante + derecha,lenta
apagado,detenida,enciende en este momento,prender,detenida
prendida,detenida,continua de frente,adelante,normal
adelante,lenta,A La Izquierda,adelante + izquierda,lenta
adelante,detenida,silla derecha,adelante + derecha,detenida
adelante,lenta,izQuierda Ya,adelante + izquierda,lenta
prendida,rapido,bajale la velocidad ahorita,null,lenta
adelante,rapido,derecha ya,adelante + derecha,rapido
adelante,detenida,a la izquierda,adelante + izquierda,detenida
adelante,lenta,derECha Ya,adelante + derecha,lenta
adelante,rapido,DESACELERA AHORITA.,adelante,lenta
adelante,rapido,silla izquierda,adelante + izquierda,rapido
adelante + derecha,detenida,a la izquierda,adelante,detenida
adelante,normal,izquierda,adelante + izquierda,normal
prendida,detenida,apagate en friega,apagar,detenida
adelante + derecha,normal,avanza,adelante,normal
prendida,detenida,vamos adelante,adelante,null
prendida,detenida,rueda hacia adelante con mas velocidad,adelante,rapido
prendida,detenida,dale adelante...,adelante,null
adelante + derecha,normal,gira a la izquierda,adelante,normal
prendida,detenida,AVANZA,adelante,null
prendida,rapido,subele la velocidad ya,null,rapido
apagado,detenida,prende ahorita,prender,detenida
prendida,detenida,siGue paRa EnfreNte,adelante,normal
adelante + izquierda,lenta,gira a la derecha,adelante,lenta
prendida,rapido,ECHALE PARA ENFRENTE,adelante,null
prendida,normal,vamos adelante,adelante,null
adelante,lenta,mas rapido eN estE mOmenTo,adelante,rapido
prendida,detenida,disminuye la velocidad,null,normal
adelante + izquierda,normal,dereChA,adelante,normal
apagado,detenida,prenDete aHora,prender,detenida
adelante,normal,A La DerecHa,adelante + derecha,normal
izquierda,normal,acelera,izquierda,rapido
adelante,lenta,derecha ya,adelante + derecha,lenta
prendida,detenida,reduce velocidad,null,lenta
prendida,rapido,Sube La Velocidad,null,rapido
adelante,normal,voltea a la derecha??,adelante + derecha,normal
prendida,detenida,pA eNfRentE,adelante,null
prendida,lenta,reduce la velocidad de una,null,lenta
prendida,detenida,modo normal,null,normal
adelante,lenta,CON MAS VELOCIDAD,adelante,rapido
prendida,normal,SILLA ADELANTE,adelante,null
prendida,rapido,reduce la velocidad,null,lenta
apagado,detenida,activate en este momento,prender,detenida
prendida,detenida,silla adelante,adelante,null
prendida,rapido,vamos adelante,adelante,null
adelante + izquierda,lenta,pa enfrente,adelante,lenta
adelante + derecha,normal,avanza,adelante,normal
apagado,detenida,ACTIVATE EN CORTO,prender,detenida
adelante,normal,silla derecha!,adelante + derecha,normal
prendida,rapido,adelante,adelante,null
prendida,detenida,a velocidad normal de una,null,normal
adelante,lenta,derecha,adelante + derecha,lenta
adelante + derecha,normal,A LA IZQUIERDA,adelante,normal
adelante + izquierda,normal,gira a la derecha,adelante,normal
adelante,rapido,aumenta la velocidad ahorita,adelante,rapido
adelante + izquierda,rapido,gira a la derecha,adelante,rapido
prendida,detenida,a la derecha.,derecha,null
adelante,rapido,mete mas velocidad en este momento,adelante,rapido
adelante + derecha,normal,vamos adelante,adelante,normal
prendida,rapido,CON MAS VELOCIDAD DE INMEDIATO,null,rapido
prendida,normal,adelante,adelante,null
prendida,detenida,continua hacia adelante,adelante,normal
adelante,detenida,silla derecha??,adelante + derecha,detenida
prendida,normal,con mas veloCiDaD en este Momento!,null,rapido
adelante,detenida,modo normal,adelante,normal
apagado,detenida,activate en este momento,prender,detenida
apagado,detenida,Arranca Ya,prender,detenida
prendida,detenida,continua derecho tranqui,adelante,lenta
adelante,rapido,Derecha Ya,adelante + derecha,rapido
adelante,normal,normal ya,adelante,normal
prendida,lenta,para enfrente,adelante,null
derecha,detenida,mete velocidad,derecha,rapido
prendida,rapido,Silla Adelante,adelante,null
adelante + derecha,lenta,voltea a la izquierda,adelante,lenta
adelante,normal,a la derecha,adelante + derecha,normal
prendida,detenida,continua para adelante con mas velocidad,adelante,rapido
adelante,detenida,reduce la velocidad en este momento,adelante,lenta
prendida,detenida,llegale al frente...,adelante,normal
prendida,normal,rapido,null,rapido
prendida,detenida,dale adelante,adelante,null
prendida,rapido,MAS RAPIDO EN ESTE MOMENTO?,null,rapido
adelante,detenida,desacelera en este momento,adelante,lenta
adelante,lenta,voltea a la derecha,adelante + derecha,lenta
adelante + derecha,lenta,Pa Enfrente...,adelante,lenta
prendida,detenida,tuerce al lado derecho mas rapido,derecha,rapido
apagado,detenida,inicia en friega,prender,detenida
adelante,rapido,gira a la izquierda,adelante + izquierda,rapido
apagado,detenida,PRENDE AHORITA...,prender,detenida
adelante + izquierda,rapido,derecha ya,adelante,rapido
prendida,detenida,desconectate en corto,apagar,detenida
adelante + izquierda,rapido,gira a la derecha...,adelante,rapido
adelante + derecha,lenta,a la izquierda,adelante,lenta
prendida,detenida,echale para enfrente,adelante,null
adelante + derecha,rapido,gira a la izquierda,adelante,rapido
prendida,detenida,continua para adelante normal,adelante,normal
prendida,detenida,gira al lado derecho mas rapido,derecha,rapido
prendida,rapido,mete mas velocidad en friega,null,rapido
adelante + izquierda,rapido,silla derecha,adelante,rapido
adelante,rapido,METE MAS VELOCIDAD,adelante,rapido
prendida,detenida,apaga en este momento,apagar,detenida
prendida,detenida,hacia la derecha mete velocidad,derecha,rapido
prendida,rapido,muevete adelante,adelante,null
prendida,normal,con calma ahorita,null,lenta
prendida,normal,echale para enfrente.,adelante,null
adelante,rapido,NO TAN RAPIDO EN CORTO,adelante,lenta
prendida,detenida,avanza velocidad normal,adelante,normal
adelante,rapido,derecha,adelante + derecha,rapido
adelante,lenta,reduce la velocidad en corto,adelante,lenta
adelante,rapido,a la derecha,adelante + derecha,rapido
apagado,detenida,Arranca En Corto,prender,detenida
prendida,rapido,velocidad normal,null,normal
apagado,detenida,SILLA PRENDE,prender,detenida
prendida,detenida,CAMINA HACIA ENFRENTE DESPACIO,adelante,lenta
prendida,detenida,avanza,adelante,null
adelante,normal,mete mas velocidad de una,adelante,rapido
adelante + derecha,lenta,izquierda,adelante,lenta
apagado,detenida,enciende en este momento?,prender,detenida
prendida,lenta,ECHALE PARA ENFRENTE,adelante,null
adelante,lenta,bajale la velocidad de una,adelante,lenta
adelante,normal,gira a la derecha,adelante + derecha,normal
adelante,lenta,normal ahorita,adelante,normal
adelante + derecha,lenta,muevete adelante,adelante,lenta
adelante,rapido,modo NormaL,adelante,normal
derecha,rapido,normal,derecha,normal
prendida,detenida,derecha lento,derecha,lenta
prendida,detenida,a la derecha,derecha,null
adelante,normal,manten velocidad normal en friega,adelante,normal
adelante,normal,noRmaL ya!!,adelante,normal
adelante + izquierda,normal,voltea a la derecha,adelante,normal
izquierda,normal,con calma en friega,izquierda,lenta
adelante,rapido,derecha ya,adelante + derecha,rapido
prendida,detenida,derecha,derecha,null
prendida,detenida,APAGA EN FRIEGA,apagar,detenida
derecha,normal,a velocidad normal de una,derecha,normal
prendida,detenida,sigue derecho mas rapido,adelante,rapido
adelante,rapido,Voltea A La Izquierda,adelante + izquierda,rapido
prendida,lenta,mete mas velocidad de una!!,null,rapido
izquierda,lenta,maNTen veloCIdaD Normal ya,izquierda,normal
prendida,detenida,normal en friega,null,normal
adelante,normal,gira a la izquierda,adelante + izquierda,normal
apagado,detenida,arranca,prender,detenida
adelante + izquierda,normal,a la derecha,adelante,normal
prendida,detenida,derecho tranqui?,adelante,lenta
prendida,normal,echale para enfrente,adelante,null
adelante,rapido,izquierda ya,adelante + izquierda,rapido
adelante,detenida,con calma ahora!,adelante,lenta
prendida,lenta,para enfrente,adelante,null
prendida,detenida,Muevete Al Frente Despacio,adelante,lenta
adelante + derecha,lenta,para enfrente,adelante,lenta
adelante,rapido,derecha ya,adelante + derecha,rapido
adelante + derecha,normal,silla adelante,adelante,normal
adelante,normal,izquierda ya,adelante + izquierda,normal
adelante,normal,Gira A La Derecha,adelante + derecha,normal
prendida,detenida,rueda para enfrente,adelante,normal
prendida,detenida,a la derecha,derecha,null
prendida,detenida,tUerce al lado izQuierdo cOn cUidado,izquierda,lenta
prendida,detenida,izquierda,izquierda,null
apagado,detenida,prende en este momento,prender,detenida
apagado,detenida,enciendete de una,prender,detenida
adelante,normal,mas rapido ahorita!,adelante,rapido
prendida,detenida,apaga ahora,apagar,detenida
adelante,rapido,derecha ya,adelante + derecha,rapido
prendida,normal,vamos adelante,adelante,null
adelante,detenida,derecha,adelante + derecha,detenida
prendida,detenida,modo normal ya,null,normal
prendida,lenta,adelante,adelante,null
adelante + izquierda,normal,derecha,adelante,normal
prendida,detenida,al frente mas rapido!,adelante,rapido
prendida,detenida,llegale hacia adelante lento,adelante,lenta
