comando_inicial,frase,direccion,velocidad,estado_silla
Silla,dale de reversa despacio,atras,Lento,prendida
Silla,da vuelta hacia la derecha mas rapido,derecha,Rapido,prendida
Silla,llegale de reversa con mas velocidad,atras,Rapido,prendida
Silla,con mas velocidad en este momento,velocidad,Rapido,prendida
Silla,muevete para la izquierda mas rapido,izquierda,Rapido,prendida
Silla,corta ya ahorita,detener,,prendida
Silla,alto de una,detener,,prendida
Silla,de frente con mas velocidad,adelante,Rapido,prendida
Silla,parate ya al tiro,detener,,prendida
Silla,frena en seco,detener,,prendida
Silla,pa' atras tranqui,atras,Lento,prendida
Silla,tuerce para la izquierda lento,izquierda,Lento,prendida
Silla,hacia la izquierda despacio,izquierda,Lento,prendida
Silla,voltea al lado izquierdo tranqui,izquierda,Lento,prendida
Silla,detente de una,detener,,prendida
Silla,regresate pa' atras,atras,Normal,prendida
Silla,suena el claxon,claxon,,prendida
Silla,de reversa con mas velocidad,atras,Rapido,prendida
Silla,llegale de frente rapido,adelante,Rapido,prendida
Silla,manten velocidad normal ahora,velocidad,Normal,prendida
Silla,ve para la derecha mas rapido,derecha,Rapido,prendida
Silla,al frente rapido,adelante,Rapido,prendida
Silla,continua hacia adelante,adelante,Normal,prendida
Silla,de frente mas rapido,adelante,Rapido,prendida
Silla,muevete hacia la derecha normal,derecha,Normal,prendida
Silla,gira pa' la derecha con calma,derecha,Lento,prendida
Silla,derecho con mas velocidad,adelante,Rapido,prendida
Silla,tuerce para la izquierda,izquierda,Normal,prendida
Silla,voltea a la derecha normal,derecha,Normal,prendida
Silla,rueda hacia adelante rapido,adelante,Rapido,prendida
Silla,voltea para la izquierda con cuidado,izquierda,Lento,prendida
Silla,tuerce al lado derecho apurate,derecha,Rapido,prendida
Silla,gira hacia la izquierda suavecito,izquierda,Lento,prendida
Silla,llegale para enfrente,adelante,Normal,prendida
Silla,gira a la izquierda rapido,izquierda,Rapido,prendida
Silla,llegale en reversa,atras,Normal,prendida
Silla,voltea pa' la izquierda lento,izquierda,Lento,prendida
Silla,da vuelta para la derecha lento,derecha,Lento,prendida
Silla,frena,detener,,prendida
Silla,quieta en friega,detener,,prendida
Silla,ve derecho despacio,adelante,Lento,prendida
Silla,ve al lado derecho,derecha,Normal,prendida
Silla,dobla hacia la derecha mete velocidad,derecha,Rapido,prendida
Silla,cortale en friega,detener,,prendida
Silla,dobla hacia la derecha con mas velocidad,derecha,Rapido,prendida
Silla,hazte para atras apurate,atras,Rapido,prendida
Silla,continua al frente apurate,adelante,Rapido,prendida
Silla,sigue pa' atras normal,atras,Normal,prendida
Silla,rueda en reversa mete velocidad,atras,Rapido,prendida
Silla,da vuelta para la derecha,derecha,Normal,prendida
Silla,pa' la izquierda con cuidado,izquierda,Lento,prendida
Silla,normal,velocidad,Normal,prendida
Silla,stop ya,detener,,prendida
Silla,parale en corto,detener,,prendida
Silla,sigue en reversa rapido,atras,Rapido,prendida
Silla,detencion en caliente,detener,,prendida
Silla,continua al frente despacito,adelante,Lento,prendida
Silla,hazte para atras mas rapido,atras,Rapido,prendida
Silla,gira hacia la izquierda mas rapido,izquierda,Rapido,prendida
Silla,ve a la derecha con mas velocidad,derecha,Rapido,prendida
Silla,haz alto en este momento,detener,,prendida
Silla,ve pa' la izquierda normal,izquierda,Normal,prendida
Silla,activate en corto,prender,,prendida
Silla,no tan rapido de inmediato,velocidad,Lento,prendida
Silla,retrocede,atras,Normal,prendida
Silla,aumenta la velocidad en friega,velocidad,Rapido,prendida
Silla,cortale en caliente,detener,,prendida
Silla,tuerce para la derecha tranqui,derecha,Lento,prendida
Silla,dale en reversa,atras,Normal,prendida
Silla,rueda rueda hacia adelante,adelante,Normal,prendida
Silla,desactivate ahorita,apagar,,apagada
Silla,dobla pa' la derecha a velocidad normal,derecha,Normal,prendida
Silla,pa' atras despacito,atras,Lento,prendida
Silla,gira pa' la izquierda apurate,izquierda,Rapido,prendida
Silla,dale de frente con cuidado,adelante,Lento,prendida
Silla,desacelera en este momento,velocidad,Lento,prendida
Silla,dobla a la derecha con cuidado,derecha,Lento,prendida
Silla,para adelante a velocidad normal,adelante,Normal,prendida
Silla,mete mas velocidad en este momento,velocidad,Rapido,prendida
Silla,ve pa' la derecha,derecha,Normal,prendida
Silla,dobla a la derecha despacito,derecha,Lento,prendida
Silla,tuerce pa' la izquierda,izquierda,Normal,prendida
Silla,hacia adelante,adelante,Normal,prendida
Silla,gira a la derecha despacito,derecha,Lento,prendida
Silla,avanza suavecito,adelante,Lento,prendida
Silla,hacia adelante apurate,adelante,Rapido,prendida
Silla,regresate en reversa lento,atras,Lento,prendida
Silla,arrancate al frente,adelante,Normal,prendida
Silla,voltea a la izquierda normal,izquierda,Normal,prendida
Silla,despacito,velocidad,Lento,prendida
Silla,corta,detener,,prendida
Silla,rueda hacia atras mas rapido,atras,Rapido,prendida
Silla,al lado izquierdo despacio,izquierda,Lento,prendida
Silla,da vuelta a la izquierda lento,izquierda,Lento,prendida
Silla,continua para atras,atras,Normal,prendida
Silla,apagate de una,apagar,,apagada
Silla,sigue derecho normal,adelante,Normal,prendida
Silla,pa' la derecha con calma,derecha,Lento,prendida
Silla,rueda de reversa,atras,Normal,prendida
Silla,da vuelta hacia la derecha,derecha,Normal,prendida
Silla,a la izquierda despacio,izquierda,Lento,prendida
Silla,regresate en reversa a velocidad normal,atras,Normal,prendida
Silla,dale de frente normal,adelante,Normal,prendida
Silla,regresate hacia atras rapido,atras,Rapido,prendida
Silla,sigue de frente,adelante,Normal,prendida
Silla,voltea a la izquierda rapido,izquierda,Rapido,prendida
Silla,a la izquierda con calma,izquierda,Lento,prendida
Silla,desconectate en friega,apagar,,apagada
Silla,arrancate para enfrente suavecito,adelante,Lento,prendida
Silla,muevete hacia la izquierda lento,izquierda,Lento,prendida
Silla,al lado derecho mete velocidad,derecha,Rapido,prendida
Silla,regresate pa' atras apurate,atras,Rapido,prendida
Silla,da vuelta para la izquierda,izquierda,Normal,prendida
Silla,haz alto ahorita,detener,,prendida
Silla,rueda de frente,adelante,Normal,prendida
Silla,muevete pa' la izquierda rapido,izquierda,Rapido,prendida
Silla,de reversa mas rapido,atras,Rapido,prendida
Silla,tuerce al lado izquierdo lento,izquierda,Lento,prendida
Silla,adelantate despacio,adelante,Lento,prendida
Silla,a la derecha rapido,derecha,Rapido,prendida
Silla,detente de golpe,detener,,prendida
Silla,voltea a la derecha rapido,derecha,Rapido,prendida
Silla,cierra en friega,apagar,,apagada
Silla,derecho mete velocidad,adelante,Rapido,prendida
Silla,rueda hacia adelante,adelante,Normal,prendida
