estado_accion,estado_velocidad,frase,accion,velocidad
apagado,detenida,por favor prender,prender,detenida
apagado,detenida,prendete rapido,prender,detenida
apagado,detenida,enciende,prender,detenida
apagado,detenida,activate!,prender,detenida
prendida,detenida,Hey Apaguete,apagar,detenida
prendida,detenida,descansa ahorita,apagar,detenida
prendida,detenida,Oye duerMe por favor,apagar,detenida
prendida,detenida,hiberna,apagar,detenida
prendida,detenida,adelante,adelante,null
prendida,detenida,adelante rapido?,adelante,rapido
prendida,detenida,rapido de inmediato,null,rapido
adelante,detenida,rapido,adelante,rapido
adelante,rapido,derecha de inmediato,adelante + derecha,rapido
adelante + derecha,rapido,izquierda ahora?,adelante,rapido
adelante,rapido,izquierda,adelante + izquierda,rapido
adelante + izquierda,rapido,silla adelante ahorita,adelante,rapido
adelante,rapido,hey disminuye la velocidad,adelante,normal
prendida,detenida,derecha de inmediato,derecha,null
derecha,detenida,silla rapido,derecha,rapido
prendida,detenida,OYE ATRAS,atras,null
prendida,detenida,heY atras raPido,atras,rapido
atras,detenida,silla rapido!!,atras,rapido
adelante + derecha,normal,silla pa enfrente,adelante,normal
prendida,detenida,silla recula.,atras,null
adelante,rapido,hey derecha ahora,adelante + derecha,rapido
prendida,lenta,velocidad normal por favor,null,normal
adelante,normal,silla voltea a la izquierda por favor??,adelante + izquierda,normal
prendida,detenida,por favor sigue de frente con mas velocidad??,adelante,rapido
adelante + izquierda,normal,A La Derecha Ya,adelante,normal
izquierda,rapido,hey baja a normal por favor,izquierda,normal
adelante + derecha,rapido,gira a la izquierda,adelante,rapido
adelante + derecha,rapido,mueve a la izquierda ya,adelante,rapido
prendida,detenida,Derecho Apurate,adelante,rapido
adelante,lenta,Hey Mueve A La Derecha De Inmediato,adelante + derecha,lenta
prendida,detenida,Oye Echale Derecho Con Mas Velocidad.,adelante,rapido
prendida,detenida,cierra ahorita?,apagar,detenida
apagado,detenida,por favor enciende,prender,detenida
adelante,normal,MUEVE A LA IZQUIERDA AHORITA,adelante + izquierda,normal
prendida,detenida,por favor aumenta la velocidad de una,null,rapido
prendida,detenida,A La Derecha,derecha,normal
prendida,detenida,voltea a la derecha con cuidado,derecha,lenta
adelante,detenida,apurate ya,adelante,rapido
prendida,detenida,silLa tuercE parA lA IZquierdA norMal Ahorita,izquierda,normal
adelante + izquierda,lenta,a la derecha,adelante,lenta
atras,lenta,hey ve despacio en este momento,atras,lenta
adelante + izquierda,normal,silla mueve a la derecha ahora,adelante,normal
adelante,lenta,por favor voltea a la izquierda,adelante + izquierda,lenta
prendida,detenida,IZQUIERDA ACELERA MAS POR FAVOR,izquierda,rapido
prendida,detenida,Hazte Para Atras,atras,null
prendida,detenida,ve hacia atras,atras,null
prendida,detenida,da marcha atras mete velocidad ahora!,atras,rapido
adelante,detenida,oye mete mas velocidad de una ya,adelante,rapido
prendida,detenida,pa enfrente,adelante,null
prendida,detenida,por favor para enfrente ahora,adelante,null
atras,detenida,con calma en friega,atras,lenta
adelante,lenta,oye a la derecha de inmediato,adelante + derecha,lenta
prendida,detenida,oye pa atras,atras,null
prendida,normal,dale adelante ahora,adelante,null
adelante + izquierda,normal,oye gira a la derecha ya.,adelante,normal
atras,rapido,oye con mas vElocidad ahOrIta?,atras,rapido
adelante + derecha,normal,gira izquierda de inmediato,adelante,normal
prendida,rapido,silLa para enfrente,adelante,null
apagado,detenida,hey inIcIa en friEga,prender,detenida
prendida,detenida,Por Favor Recula,atras,null
prendida,detenida,gira para la izquierda mas rapido,izquierda,rapido
apagado,detenida,POR FAVOR ENCIENDETE,prender,detenida
prendida,normal,oye pa atras de inmediato,atras,null
prendida,detenida,para adelante mas rapido de inmediato,adelante,rapido
adelante + derecha,lenta,vamos adelante ahora,adelante,lenta
prendida,detenida,silla avanza un poco,adelante,null
prendida,detenida,Por FAVor derEcha,derecha,null
adelante + izquierda,lenta,gira a la derecha,adelante,lenta
prendida,rapido,modo normal ahora,null,normal
prendida,detenida,silla pa' la derecha rapido,derecha,rapido
adelante,normal,HEY DERECHA AHORITA,adelante + derecha,normal
prendida,detenida,oye mueve a la derecha ahorita,derecha,null
adelante + izquierda,normal,silla gira a la derecha,adelante,normal
atras,detenida,mete mas velocidad en este momento ahora...,atras,rapido
prendida,detenida,para atras mas rapido,atras,rapido
prendida,detenida,apaga de inmediato de inmediato,apagar,detenida
atras,detenida,SUBELE LA VELOCIDAD EN FRIEGA,atras,rapido
prendida,detenida,llegale para enfrente con calma,adelante,lenta
prendida,detenida,hey pa atras,atras,null
adelante + izquierda,normal,silla a la derecha,adelante,normal
prendida,rapido,ve despacio ahorita,null,lenta
adelante + izquierda,lenta,por favor mueve a la derecha!!,adelante,lenta
prendida,detenida,ve hacia adelante,adelante,null
adelante + derecha,rapido,A LA IZQUIERDA,adelante,rapido
prendida,detenida,voltea a la derecha de inmediato,derecha,null
atras,lenta,MAS LENTO,atras,lenta
prendida,detenida,atras??,atras,null
adelante,lenta,coN mAs VelocidAD ya!!,adelante,rapido
adelante + derecha,rapido,para enfrente ahora!,adelante,rapido
adelante + derecha,lenta,Hey Mueve A La Izquierda??,adelante,lenta
atras,normal,silla con mas velocidad en este momento,atras,rapido
izquierda,detenida,silla desacelera de una,izquierda,lenta
prendida,rapido,cOn calmA ahora,null,lenta
prendida,normal,velocidad normal en este momento ahora,null,normal
prendida,detenida,oye ve hacia adelante,adelante,null
adelante + derecha,normal,sigue adelante ya,adelante,normal
prendida,detenida,Por Favor Para Atras Mete Velocidad,atras,rapido
prendida,detenida,oye gira a la izquierda por favor,izquierda,null
adelante + izquierda,normal,hey gira a la derecha,adelante,normal
adelante,rapido,oye gira izquierda,adelante + izquierda,rapido
prendida,detenida,muevete al lado derecho mete velocidad,derecha,rapido
derecha,detenida,hey manten velocidad normal en friega,derecha,normal
adelante + derecha,normal,a la izquierda ya,adelante,normal
izquierda,lenta,Reduce la VElOcIDad ahoRa...,izquierda,lenta
prendida,detenida,pa' lA derecHa suaVecito ya,derecha,lenta
adelante,normal,por favor mueve a la izquierda ahorita,adelante + izquierda,normal
prendida,normal,por favor atras,atras,null
prendida,normal,modo normal!!,null,normal
prendida,detenida,da reversa ya,atras,null
prendida,rapido,oye muevete atras ahorita,atras,null
adelante,rapido,mueve a la derecha de inmediato,adelante + derecha,rapido
prendida,detenida,oye continua pa' atras tranqui...,atras,lenta
prendida,detenida,Por Favor Acelera De Inmediato,null,rapido
prendida,detenida,Silla De Reversa Con Mas Velocidad Ya,atras,rapido
prendida,detenida,por favor tuerce a la izquierda apurate?,izquierda,rapido
prendida,detenida,pa enfrente!!,adelante,null
adelante + derecha,normal,por favor adelante,adelante,normal
prendida,detenida,continua pa' atras,atras,normal
prendida,lenta,hey echale para enfrente,adelante,null
prendida,lenta,subele la velocidad ya,null,rapido
adelante,normal,silla gira a la izquierda!,adelante + izquierda,normal
prendida,detenida,echale para enfrente,adelante,normal
prendida,detenida,oye vamos atras?,atras,null
prendida,lenta,por favor baja a normal,null,normal
prendida,detenida,da marcha atras despacio,atras,lenta
atras,detenida,silla disminuye la velocidad,atras,normal
prendida,detenida,hey gira a la derecha,derecha,null
prendida,detenida,Camina Hacia Enfrente Tranqui,adelante,lenta
prendida,rapido,ADELANTE AHORITA,adelante,null
prendida,detenida,oye voltea a la izquierda de inmediato...,izquierda,null
izquierda,lenta,por favor manten velocidad normal ahora,izquierda,normal
prendida,normal,oye mete mas velocidad de una,null,rapido
adelante,detenida,REDUCE LA VELOCIDAD EN ESTE MOMENTO,adelante,lenta
prendida,normal,SILLA CON CALMA AHORA DE INMEDIATO,null,lenta
adelante,lenta,GIRA DERECHA,adelante + derecha,lenta
adelante,lenta,dobla a la derecha ahorita,adelante + derecha,lenta
prendida,detenida,por favor reversa ponlo normal,atras,normal
prendida,lenta,a velocidad normal de una,null,normal
adelante + izquierda,normal,silla gira a la derecha ya,adelante,normal
prendida,detenida,modo normal ahorita,null,normal
atras,rapido,a velocidad normal ahorita ahorita,atras,normal
adelante,normal,VOLTEA A LA IZQUIERDA DE INMEDIATO,adelante + izquierda,normal
prendida,detenida,Vamos Atras De Inmediato,atras,null
adelante,rapido,por favor modo normal ahorita!!,adelante,normal
prendida,normal,hey avanza,adelante,null
adelante,detenida,Desacelera De Inmediato,adelante,lenta
apagado,detenida,inicia en friega,prender,detenida
adelante + derecha,lenta,gira a la izquierda ahorita,adelante,lenta
izquierda,detenida,manten velocidad normal en friega,izquierda,normal
prendida,detenida,al frente lento ya.,adelante,lenta
apagado,detenida,arranca En CorTO ahoritA,prender,detenida
prendida,detenida,silla echale para enfrente,adelante,null
adelante,lenta,por favor a la derecha,adelante + derecha,lenta
atras,normal,reduce la velocidad,atras,lenta
prendida,detenida,siLla de fREnte,adelante,normal
prendida,detenida,silla muevete para atras despacito,atras,lenta
adelante + izquierda,rapido,SILLA GIRA A LA DERECHA.,adelante,rapido
prendida,detenida,ve hacia adelante,adelante,null
prendida,detenida,hazte para atras,atras,normal
adelante,normal,dobla a la derecha,adelante + derecha,normal
prendida,detenida,silla llegale hacia adelante con mas velocidad ahora,adelante,rapido
prendida,detenida,silla para la derecha mete velocidad,derecha,rapido
prendida,lenta,continua hacia adelante ya,adelante,null
prendida,detenida,silla apagar ahorita,apagar,detenida
prendida,detenida,silla hacia atras a velocidad normal,atras,normal
adelante + izquierda,detenida,gira a la derecha,adelante,detenida
adelante + derecha,normal,pa enfrente??,adelante,normal
prendida,normal,oye vamos adelante ahora!!,adelante,null
adelante,rapido,derecha ya??,adelante + derecha,rapido
prendida,detenida,gira a la izquierda ahora??,izquierda,null
prendida,detenida,sigue adelante,adelante,null
prendida,detenida,silla reversa,atras,null
adelante + izquierda,lenta,GIRA A LA DERECHA,adelante,lenta
adelante,rapido,gira derecha por favor,adelante + derecha,rapido
prendida,detenida,para atras ahorita,atras,null
adelante,lenta,OYE MUEVE A LA DERECHA,adelante + derecha,lenta
prendida,detenida,gira derecha de inmediato,derecha,null
apagado,detenida,Por Favor Arranca Ya De Inmediato,prender,detenida
prendida,detenida,HEY PA ATRAS AHORITA,atras,null
adelante,lenta,hey aumenta la velocidad,adelante,rapido
prendida,detenida,VE DE FRENTE,adelante,normal
apagado,detenida,silla enciende ahora,prender,detenida
prendida,detenida,hey echale pa' atras mas rapido,atras,rapido
adelante,lenta,silla bajale la velocidad ya de inmediato,adelante,lenta
atras,rapido,no tan rapido ya,atras,lenta
prendida,detenida,por favor ponte en reversa despacito,atras,lenta
apagado,detenida,enciendete ahorita!!,prender,detenida
adelante,lenta,ponlo normal,adelante,normal
prendida,detenida,dA reverSA,atras,null
prendida,detenida,POR FAVOR DOBLA PA' LA DERECHA A VELOCIDAD NORMAL,derecha,normal
adelante + derecha,lenta,continua hacia adelante...,adelante,lenta
adelante,normal,silla voltea a la derecha,adelante + derecha,normal
adelante,lenta,HEY GIRA IZQUIERDA DE INMEDIATO,adelante + izquierda,lenta
adelante,lenta,Hey Gira Izquierda Ahora,adelante + izquierda,lenta
prendida,detenida,ponlo normal ahora,null,normal
adelante + izquierda,lenta,Adelante Ahora,adelante,lenta
adelante + izquierda,normal,dobla a la derecha??,adelante,normal
prendida,detenida,da reversa?,atras,null
prendida,detenida,OYE APAGA,apagar,detenida
adelante,normal,mas lento,adelante,lenta
apagado,detenida,oye arranca,prender,detenida
prendida,detenida,DA REVERSA,atras,null
adelante,rapido,derecha por favor??,adelante + derecha,rapido
